id,title,venue,step25_pred,step41_pred
1545,Dynamic Programming for Symbolic Boolean Realizability and Synthesis.,cav,4,3
947,A Data Complexity and Rewritability Tetrachotomy of Ontology-Mediated Queries with a Covering Axiom.,kr,4,3
1895,Global Guidance for Local Generalization in Model Checking.,cav,3,2
2305,"Learning Weighted Automata over Number Rings, Concretely and Categorically.",lics,2,1
2410,"Braids, Twists, Trace and Duality in Combinatory Algebras.",lics,2,1
2292,Approaching Symbolic Parallelization by Synthesis of Recurrence Decompositions.,cav,2,1
1464,StatWhy: Formal Verification Tool for Statistical Hypothesis Testing Programs.,cav,4,3
1988,Quantified Invariants via Syntax-Guided Synthesis.,cav,2,1
2103,Model Checking Quantitative Hyperproperties.,cav,2,1
2676,A Higher Structure Identity Principle.,lics,2,1
2057,Towards Bridging the Gap between Modern and Legacy Automotive ECUs: A Software-Based Security Framework for Legacy ECUs.,cav,2,1
2542,Reasoning on Data Words over Numeric Domains.,lics,3,4
2284,String Analysis via Automata Manipulation with Logic Circuit Representation.,cav,3,2
1066,If Nothing Is Accepted - Repairing Argumentation Frameworks.,kr,3,2
1804,AIGEN: Random Generation of Symbolic Transition Systems.,cav,3,2
2430,&quot;Upon This Quote I Will Build My Church Thesis&quot;.,lics,2,1
