source_split,id,source_title,source_year,title_search_found,title_search_error,title_match_score,title_year_delta,openalex_id,openalex_doi,openalex_title,openalex_year,cited_by_count,referenced_works_count,fwci,is_retracted
train,0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",2026.0,False,,0.1945945945945946,-1.0,https://openalex.org/W4416904744,https://doi.org/10.1017/s1471068425100367,A Category-Theoretic Perspective on Higher-Order Approximation Fixpoint Theory,2025.0,0.0,25.0,0.0,False
train,1,Conditionals and Temporal Conditionals for Gradual Argumentation.,2025.0,False,,0.3483870967741935,-16.0,https://openalex.org/W2000196122,https://doi.org/10.1017/s0140525x0999094x,The myth of language universals: Language diversity and its importance for cognitive science,2009.0,2618.0,460.0,1227.0424,False
train,2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,2025.0,False,,0.3614457831325301,-19.0,https://openalex.org/W2112957339,,Confronting the Challenges of Participatory Culture: Media Education for the 21st Century,2006.0,3191.0,11.0,200.6913,False
train,3,Agentified Argumentative Learning (short paper).,2025.0,False,,0.0,,,,,,,,,
train,4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,2025.0,False,,0.3673469387755102,-6.0,https://openalex.org/W2981731882,https://doi.org/10.1016/j.inffus.2019.12.012,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",2019.0,8646.0,668.0,341.6069,False
train,5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,2025.0,True,,1.0,0.0,https://openalex.org/W7112487812,,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs,2025.0,0.0,0.0,0.0,False
train,6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,2025.0,False,,0.0,,,,,,,,,
train,7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,2025.0,False,,0.3193277310924369,-13.0,https://openalex.org/W2020519533,https://doi.org/10.1016/j.neuroimage.2012.02.018,The Human Connectome Project: A data acquisition perspective,2012.0,2790.0,70.0,36.6192,False
train,8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,2025.0,False,,0.3424657534246575,-14.0,https://openalex.org/W1732974977,,Intermediaries and Hate Speech: Fostering Digital Citizenship for Our Information Age,2011.0,129.0,0.0,2.6379,False
train,9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,2025.0,False,,0.2981366459627329,1.0,https://openalex.org/W7154865593,,GDPR Auto-Formalization with AI Agents and Human Verification,2026.0,0.0,0.0,0.0,False
train,10,ASP Chef Creates Surveys.,2025.0,False,,0.2074074074074074,-9.0,https://openalex.org/W2537643964,https://doi.org/10.3390/ijms17101745,"Tocopherols and Tocotrienols in Common and Emerging Dietary Sources: Occurrence, Applications, and Health Benefits",2016.0,422.0,189.0,12.1499,False
train,11,neXSim: A System for Explaining Nexus of Similarities.,2025.0,False,,0.0,,,,,,,,,
train,12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,2025.0,False,,0.3582089552238806,-3.0,https://openalex.org/W4221141793,https://doi.org/10.1613/jair.1.13596,Automated Reinforcement Learning (AutoRL): A Survey and Open Problems,2022.0,82.0,383.0,10.5491,False
train,13,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,2025.0,False,,0.3132530120481928,-4.0,https://openalex.org/W4200081874,https://doi.org/10.1186/s10033-021-00639-3,Planning and Decision-making for Connected Autonomous Vehicles at Road Intersections: A Review,2021.0,88.0,172.0,8.3264,False
train,14,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,2025.0,False,,0.3076923076923077,-4.0,https://openalex.org/W3126686235,https://doi.org/10.1109/ojcoms.2021.3057679,The Road Towards 6G: A Comprehensive Survey,2021.0,1461.0,144.0,103.9261,False
train,15,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,2025.0,False,,0.1974248927038626,-3.0,https://openalex.org/W4401200531,,Methodological framework for a digital thread between product lifecycle management and internet of things : application to the manufacturing industry,2022.0,0.0,0.0,,False
