source_split,id,source_title,found,abstract,match_score,openalex_id,openalex_title,openalex_year,error
train,3,Agentified Argumentative Learning (short paper).,False,,0.0,,,,
train,11,neXSim: A System for Explaining Nexus of Similarities.,False,,0.0,,,,
train,29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,False,,0.0,,,,
train,36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,False,,0.0,,,,
train,45,Global Type Inference for Java using Answer Set Programming.,False,"Artificial intelligence (AI) has significantly impacted various fields. Large language models (LLMs) like GPT-4, BARD, PaLM, Megatron-Turing NLG, Jurassic-1 Jumbo etc., have contributed to our understanding and application of AI in these domains, along with natural language processing (NLP) techniques. This work provides a comprehensive overview of LLMs in the context of language modeling, word embeddings, and deep learning. It examines the application of LLMs in diverse fields including text generation, vision-language models, personalized learning, biomedicine, and code generation. The paper offers a detailed introduction and background on LLMs, facilitating a clear understanding of their fundamental ideas and concepts. Key language modeling architectures are also discussed, alongside a survey of recent works employing LLM methods for various downstream tasks across different domains. Additionally, it assesses the limitations of current approaches and highlights the need for new methodologies and potential directions for significant advancements in this field.",0.2666666666666666,https://openalex.org/W4401671778,"Large language models (LLMs): survey, technical frameworks, and future challenges",2024.0,
train,87,"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025.",False,,0.0,,,,
train,88,"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025.",False,,0.0,,,,
train,95,Statistical Syllogistic Tableaux.,False,"The aim of this paper is to propose a logical justification for the process of surrogate reasoning in modeling practice in science. To this end, we understand hypothesis generation as the creation of an interactive, formal dialogue between the model and the target system. In order to describe this idea from a logical point of view, we will rely on the pragmatic approach of Dialogic as the ideal framework to illustrate logical interactions.",0.3302752293577982,https://openalex.org/W4391114473,Interactive Hypotheses: Towards a Dialogical Foundation of Surrogate Reasoning,2023.0,
train,103,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents.,False,"Buy Inorganic Chemistry: Principles of Structure and Reactivity edited by Haneen Mohammed Abbas Kasar, Zainab Najib Badr Abd, Zahraa Sattar Jaber Khnyab and Yasser Ammar Habib Daoud Al-Samarrai at low price.",0.2900763358778626,https://openalex.org/W4403733501,Inorganic Chemistry: Principles of Structure and Reactivity,2024.0,
train,107,Controlled Natural Language Models.,False,"We propose the use of controlled natural language as a target for knowledge graph question answering (KGQA) semantic parsing via language models as opposed to using formal query languages directly. Controlled natural languages are close to (human) natural languages, but can be unambiguously translated into a formal language such as SPARQL. Our research hypothesis is that the pre-training of large language models (LLMs) on vast amounts of textual data leads to the ability to parse into controlled natural language for KGQA with limited training data requirements. We devise an LLM-specific approach for semantic parsing to study this hypothesis. To conduct our study, we created a dataset that allows the comparison of one formal and two different controlled natural languages. Our analysis shows that training data requirements are indeed substantially reduced when using controlled natural languages, which is relevant since collecting and maintaining high-quality KGQA semantic parsing training data is very expensive and time-consuming.",0.4852941176470588,https://openalex.org/W4387171349,Language Models as Controlled Natural Language Semantic Parsers for Knowledge Graph Question Answering,2023.0,
